_SystemName,_DistrictWebsite,_City,_total_enroll,_Grade,_pct_asian,_pct_native,_pct_black,_pct_hispanic,_pct_multi,_pct_white,_sent_bool
Richmond County,http://www.rcboe.org/,Augusta,29662,F,1,0,74,5,3,16,1
Clayton County,http://www.clayton.k12.ga.us/,Jonesboro,53854,D,4,0,70,22,3,2,1
Bibb County,http://www.bcsdk12.net,Macon,22966,D,2,0,73,5,2,18,1
DeKalb County,http://www.dekalb.k12.ga.us/,Stone Mountain,96133,C,7,0,61,18,2,11,1
Atlanta Public Schools,https://www.atlantapublicschools.us/,Atlanta,51001,C,1,0,73,8,2,16,1
Henry County,http://schoolwires.henry.k12.ga.us/site/default.aspx?PageID=1,McDonough,42238,C,3,0,55,10,5,27,1
Chatham County,https://spwww.sccpss.com/Pages/default.aspx,Savannah,35915,C,2,0,57,10,5,25,1
Muscogee County,https://www.muscogee.k12.ga.us,Columbus,30756,C,3,0,58,9,5,24,1
Paulding County,http://www.paulding.k12.ga.us/,Dallas,29710,C,1,0,25,10,5,59,1
Gwinnett County,http://publish.gwinnett.k12.ga.us/gcps/home/public,Suwanee,178527,B,11,0,32,31,4,22,1
Cobb County,http://www.cobbk12.org/,Marietta,110878,B,6,0,31,22,4,37,1
Fulton County,http://www.fultonschools.org/en,Atlanta,92334,B,12,0,42,15,3,28,1
Cherokee County,https://www.cherokeek12.net/,Canton,41831,B,2,0,8,19,4,67,1
Hall County,http://www.hallco.org/web,Gainesville,26661,C,1,0,5,44,2,48,1
Douglas County,http://www.douglas.k12.ga.us/,Douglasville,26331,C,2,0,54,17,5,23,1
Houston County,http://www.hcbe.net/,Perry,28640,B,3,0,39,10,6,43,0
Columbia County,https://www.ccboe.net/,Evans,27218,B,4,0,21,11,7,57,0
Coweta County,http://www.cowetaschools.org/,Newnan,22160,B,2,0,23,10,4,60,0
Forsyth County,http://www.forsyth.k12.ga.us/site/default.aspx?PageID=1,Cumming,48827,A,22,0,4,14,3,57,1
Dublin City,http://www.dublincityschools.us/,Dublin,2204,F,1,0,92,2,2,3,0
Mitchell County,http://www.mitchell.k12.ga.us/,Camilla,2160,F,1,0,58,7,1,33,0
Brooks County,http://www.brooks.k12.ga.us,Quitman,2056,F,0,0,54,11,3,33,0
Wilkinson County,http://www.wilkinson.k12.ga.us/,Irwinton,1248,F,0,0,55,5,7,33,0
Dooly County,https://www.dooly.k12.ga.us/,Vienna,1157,F,1,0,73,17,2,8,0
Treutlen County,http://www.treutlen.k12.ga.us/,Soperton,1053,F,0,0,40,3,4,54,0
Hancock County,https://www.hancock.k12.ga.us/,Sparta,788,F,1,0,96,1,1,2,0
Calhoun County,https://www.calhoun.k12.ga.us/,Morgan,530,F,0,0,94,3,1,2,0
Talbot County,http://www.talbot.k12.ga.us/,Talbotton,427,F,0,0,91,0,0,8,0
Newton County,http://www.newtoncountyschools.org/,Covington,19002,D,1,0,57,9,4,29,0
Rockdale County,https://www.rockdaleschools.org/,Conyers,16340,D,2,0,68,15,3,12,0
Dougherty County,https://www.docoschools.org/,Albany,13781,D,0,0,89,3,2,5,0
Bartow County,http://www.bartow.k12.ga.us/,Cartersville,12973,D,1,0,9,14,5,71,0
Clarke County,http://www.clarke.k12.ga.us/,Athens,12595,D,2,0,48,25,4,21,0
Spalding County,http://www.spalding.k12.ga.us/,Griffin,9847,D,1,0,48,9,5,38,0
Valdosta City,http://www.gocats.org/,Valdosta,8171,D,1,0,75,6,3,14,0
Gainesville City,http://www.gcssk12.net/,Gainesville,7756,D,3,0,18,61,3,15,0
Polk County,http://www.polk.k12.ga.us/,Cedartown,7550,D,0,0,15,22,5,57,0
Murray County,http://www.murray.k12.ga.us/,Chatsworth,6960,D,0,0,0,25,1,73,0
Baldwin County,https://www.baldwincountyschoolsga.org/,Milledgeville,4855,D,2,0,67,3,4,25,0
Decatur County,http://www.boe.dcboe.com/,Bainbridge,4785,D,1,0,49,11,3,36,0
Grady County,http://www.grady.k12.ga.us/,Cairo,4411,D,0,0,33,23,2,41,0
Sumter County,http://www.sumterschools.org/,Americus,4241,D,1,0,71,12,2,15,0
Emanuel County,http://www.emanuel.k12.ga.us/,Swainsboro,4021,D,1,0,42,8,3,47,0
Burke County,http://www.burke.k12.ga.us/,Waynesboro,3892,D,0,0,63,4,4,29,0
Crisp County,http://www.crispschools.org/,Cordele,3717,D,2,0,58,5,3,32,0
McDuffie County,http://www.mcduffie.k12.ga.us/,Thomson,3662,D,0,0,56,5,4,34,0
Tattnall County,http://www.tattnallschools.org/,Reidsville,3567,D,1,0,25,19,4,51,0
Butts County,http://www.butts.k12.ga.us/,Jackson,3320,D,1,0,33,4,4,58,0
Worth County,http://www.worthschools.net/,Sylvester,3070,D,1,0,34,2,3,60,0
Washington County,http://www.washington.k12.ga.us/,Sandersville,3028,D,1,0,65,1,4,29,0
Berrien County,http://www.berrienschools.org,Nashville,3010,D,0,0,13,8,4,74,0
Dodge County,http://www.dodge.k12.ga.us/,Eastman,2971,D,0,0,35,4,4,57,0
Ben Hill County,http://ben-hill.k12.ga.us/,Fitzgerald,2946,D,1,0,43,12,3,41,0
